station_id,province,district,name,network,operator,lat,lon,plug_count,gun_count,max_kw,total_site_kw,dc_fast,price_per_kwh,open_hours,status,source_url,verification_status,verification_note,confidence,notes,updated_by,active
chai_nat_ptt_poa_petroleum_kml,Chai Nat,Mueang Chai Nat,PTT P.O.A Petroleum Chainat,EV Station PluZ,PTT OR,15.22257,100.1724,,,,"",true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,Exact KML pin with CCS2 shown; confirm gun count and power in operator app,medium,Public KML listing shows CCS2 charger at PTT site in Mueang Chai Nat,kml_audit,true
chai_nat_ptt_phornpimol_kml,Chai Nat,Mueang Chai Nat,PTT Phornpimol Chainat,EV Station PluZ,PTT OR,15.23656,100.105,,,,"",true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,Exact KML pin with CCS2 shown; confirm gun count and power in operator app,medium,Public KML listing shows CCS2 charger at Thammamun / city-side PTT site,kml_audit,true
chai_nat_ptt_asia_chainat_oil_kml,Chai Nat,Manorom,PTT Asia Chainat Oil,EV Station PluZ,PTT OR,15.34885,100.1643,,,,"",true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,Exact KML pin with CCS2 and Type 2 shown; confirm gun count and power in operator app,medium,Public KML listing on Asian Highway corridor in Manorom,kml_audit,true
chai_nat_byd_sor_aroon_group_kml,Chai Nat,Mueang Chai Nat,BYD Sor.Aroon Group Chainat,Sharge,Sharge,15.2907318021417,100.194109983493,4,2,120,,true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,KML lists 2x CCS2 120 kW and 2x Type2 22 kW; verify public availability and exact operator metadata,medium,Useful city competitor with explicit 120 kW DC shown in public KML,kml_audit,true
chai_nat_lotus_chai_nat_kml,Chai Nat,Mueang Chai Nat,Lotus's Chai Nat,Altervim,Altervim,15.1827,100.1336,3,2,60,,true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,KML lists 2x CCS2 60 kW and 1x Type2 3 kW; verify exact port mix and pricing,medium,Important retail-site competitor in Mueang Chai Nat from public KML,kml_audit,true
chai_nat_ptt_asia_service_2528_kml,Chai Nat,Manorom,PTT Asia Service (2528),EV Station PluZ,PTT OR,15.37354,100.1534,,,,,true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,Public KML lists CCS2; confirm gun count and power in the operator app,medium,Additional Asian Highway competitor in Manorom identified from the public KML,kml_audit,true
chai_nat_ptt_mangkorn_aek_kml,Chai Nat,Sapphaya,PTT Mangkorn Aek Energy,EV Station PluZ,PTT OR,15.22034,100.2122,,,,,true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,Public KML lists CCS2; confirm gun count and power in the operator app,medium,Additional eastern Chai Nat corridor competitor in Sapphaya identified from the public KML,kml_audit,true
chai_nat_pea_volta_mueang_kml,Chai Nat,Mueang Chai Nat,PEA VOLTA Mueang Chai Nat,PEA VOLTA,PEA,15.19277,100.13533783,,1,50,,true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,Public KML lists a 50 kW PEA VOLTA point; confirm connector count and public access,medium,Additional public-charging competitor in the Mueang Chai Nat retail/civic core,kml_audit,true
chai_nat_elexa_manorom_2_kml,Chai Nat,Manorom,PT Manorom 2,EleX,EleX,15.270968,100.19792,,2,150,,true,,,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,KML lists 2x CCS2 at 150 kW; verify public access and operator metadata,medium,Important 150 kW competitor on the Manorom/Sapphaya side,kml_audit,true
chai_nat_ea_suwann_riverside_kml,Chai Nat,Mueang Chai Nat,Suwann Riverside Resort,EA,EA,15.167415,100.134198,3,2,50,,true,,24 Hr,open,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,KML lists 2x CCS2 50 kW and Type2 22 kW; verify public access,medium,Destination-charging competitor near the southern Mueang Chai Nat approach,kml_audit,true
