station_id,province,district,name,network,operator,lat,lon,plug_count,gun_count,max_kw,total_site_kw,dc_fast,price_per_kwh,open_hours,status,source_url,verification_status,verification_note,confidence,notes,updated_by,active,connector_summary,power_summary
phuket_ptt_airport_kmz,Phuket,Thalang,PTT Phuket International Airport,EV Station PluZ,PTT,8.094767,98.308582,,2,120,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Named public charger from KMZ near Phuket airport corridor,medium,"Important airport-gateway competitor for north-island traffic and rental-car flows.",codex,true,CCS2,public PTT fast charger from KMZ
phuket_ptt_mai_khao_kmz,Phuket,Thalang,PTT Mai Khao Phuket,EV Station PluZ,PTT,8.123105,98.33582,,2,120,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Named public charger from KMZ in Mai Khao area,medium,"North-coast corridor competitor relevant for airport and resort approaches.",codex,true,CCS2,public PTT fast charger from KMZ
phuket_ptt_jomthong_sikharee_kmz,Phuket,Thalang,PTT Jomthong Sikharee Petroleum,EV Station PluZ,PTT,8.0751,98.34411,,2,120,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Named public charger from KMZ on Thepkrasattri corridor,medium,"Useful north-island roadside competitor on the main spine.",codex,true,CCS2,public PTT fast charger from KMZ
phuket_ptt_srisoonthorn_kmz,Phuket,Thalang,PTT Phuket (Si Sunthon/Thalang),EV Station PluZ,PTT,8.004379,98.343311,,2,120,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Named public charger from KMZ in the Thalang-Si Sunthon retail corridor,medium,"Competitor on the main north-south arterial close to future target zones.",codex,true,"CCS2, Type 2",public PTT charger from KMZ
phuket_robinson_thalang_evpluz_kmz,Phuket,Thalang,Robinson Lifestyle Thalang EV Station PluZ,EV Station PluZ,PTT,7.980936,98.36231,,2,120,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Named charger at Robinson Lifestyle Thalang from KMZ,medium,"Important mall-based competitor in one of Phuket's strongest retail nodes.",codex,true,"CCS2, Type 2",public mall charger from KMZ
phuket_porto_de_phuket_elex_kmz,Phuket,Thalang,Porto de Phuket,EleX,EleX,7.992202,98.305736,,2,125,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Named EleX charger from KMZ in Cherng Talay,medium_high,"Strong west-coast destination competitor serving Bang Tao and Laguna demand.",codex,true,2x CCS2,2x CCS2 125 kW
phuket_lotus_thalang_altervim_kmz,Phuket,Thalang,Lotus's Thalang,Altervim,Altervim,8.0215333,98.3381486,,2,150,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Named Altervim charger from KMZ at Lotus's Thalang,medium_high,"Large-format retail competitor on the north spine with stronger-than-baseline power.",codex,true,"2x CCS2, Type2",2x CCS2 150 kW
phuket_shell_thepkrasattri_sharge_kmz,Phuket,Thalang,Shell Thepkrasattri Phuket,Sharge,Sharge,7.9822513,98.3620823,,2,180,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Named Sharge 180 kW listing from KMZ near Robinson Thalang,medium_high,"High-power corridor competitor that materially raises competition pressure in Thalang.",codex,true,2x CCS2,2x CCS2 180 kW
phuket_tesla_robinson_thalang_kmz,Phuket,Thalang,Tesla Supercharger Robinson Lifestyle Thalang,Tesla,Tesla,7.980326,98.362737,4,4,250,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,KMZ lists 4 Superchargers at Robinson Lifestyle Thalang,medium_high,"Major premium fast-charge competitor in the north-island retail corridor.",codex,true,4 Superchargers,up to 250 kW
phuket_gwm_anuphas_kmz,Phuket,Thalang,GWM Anuphas Phuket,GWM,GWM,7.9777593,98.3613066,,2,120,,true,,,open,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,public_listing_needs_operator_verification,Dealer-linked charger listing from KMZ in Thalang corridor,medium,"Relevant dealer competitor near Robinson node even if customer access needs verification.",codex,true,unknown,dealer charger from KMZ
