station_id,province,district,name,network,operator,lat,lon,plug_count,gun_count,max_kw,total_site_kw,dc_fast,price_per_kwh,open_hours,status,source_url,verification_status,verification_note,confidence,notes,updated_by,active
saraburi_kml_4eb1b27b9907,Saraburi,,BigC Place Saraburi,EV Station PluZ,PTT OR,14.539109,100.9107581,1,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
nakhon_pathom_kml_24bd90391bff,Nakhon Pathom,,Meet&Eat,EV Station PluZ,PTT OR,13.8197492,100.0787235,1,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
surat_thani_kml_6460d6cf79a6,Surat Thani,,PTT Manita Oil and Service,EV Station PluZ,PTT OR,9.067994,99.17473,1,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
bangkok_kml_756e0e02ec63,Bangkok,,CU Sport Zone Parking,EV Station PluZ,PTT OR,13.74436,100.5239,2,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
nonthaburi_kml_9a4511ebf88a,Nonthaburi,,Food and Drug Administration,EV Station PluZ,PTT OR,13.847014,100.527203,1,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
bangkok_kml_d58f61d1457a,Bangkok,,Toyota Alive Space,EV Station PluZ,PTT OR,13.66798,100.6371,2,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
pathum_thani_kml_e588b87b9461,Pathum Thani,,BigC Rangsit Khlong 6,EV Station PluZ,PTT OR,14.0258108,100.7429275,1,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
chiang_mai_kml_783d4692a0e0,Chiang Mai,,PTT Sukhum Service (Saraphi),EV Station PluZ,PTT OR,18.67862,99.05002,1,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
bangkok_kml_949ea029b00f,Bangkok,,Café Amazon Space Phutthamonthon Sai 3,EV Station PluZ,PTT OR,13.78788,100.35844,1,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
rayong_kml_462bedd642b9,Rayong,,PTT P.N.H.W. Petroleum,EV Station PluZ,PTT OR,12.75092,101.2864,1,,,,true,,,listed,https://www.google.com/maps/d/u/0/kml?forcekml=1&mid=1YKD1Z5CdoyMnSTCOf2TgLmKV-REwfmIC,public_listing_needs_operator_verification,"Imported from nationwide public KML; verify exact location, operator, connector count, power, access and live status.",medium,Provider=PTT; imported from KML; not operator-verified.,kml_import,true
